Weeks in office,Biden,Bush,Clinton,Obama,Trump
67,-10.4285714285714,55.8,1.9,3.58571428571428,-8.7
68,-11.5857142857143,55.5,1.45,3.5,-9.2
69,-12.9,55.2,1,2.07142857142857,-9.1
70,-14.5857142857143,53.8,-0.6,1.17142857142857,-9.12857142857143
71,-13.7857142857143,53.2,-2.2,1.42857142857143,-9.35714285714286
72,-15.4857142857143,55.4,-3,1.12857142857143,-9.95714285714286
73,-15.0571428571429,54.6,-4.8,0.585714285714287,-7.82857142857143
74,-17.2571428571429,52.8,-6.6,0.614285714285716,-7.88571428571429
75,-18.8285714285714,51,-9,0.385714285714287,-8.51428571428571
76,-18.6857142857143,47.6,-9.3,-0.814285714285713,-9.65714285714286
77,-18,45.3,-9.6,0.342857142857145,-9.88571428571428
78,-19.8428571428571,43,-9.66666666666667,-0.828571428571428,-9.52857142857143
79,-17.4142857142857,40.7,-9.73333333333333,-3.68571428571429,-9.62857142857143
80,-16.7285714285714,39.2,-9.8,-4.81428571428572,-9.45714285714286
81,-15.6571428571429,38.6,-10.8,-4.94285714285714,-8.81428571428572
82,-14.8428571428571,38,-10.7,-4.17142857142857,-8.8
83,-12.9714285714286,38.5,-10.6,-3.12857142857143,-9.57142857142857
84,-12.7,39,-10.5,-2.58571428571428,-12.2571428571429
85,-11.3428571428571,39.4,-10.4,-3.95714285714286,-12.4571428571429
86,-11.1428571428571,38.4,-7,-3.47142857142857,-12.5285714285714
87,-10.3857142857143,37.2,-5.4,-5.12857142857143,-10.0142857142857
88,-10.5857142857143,37,-5.2,-4.92857142857143,-8.88571428571429
89,-10.1857142857143,36.8,-5,-3.55714285714286,-9.25714285714286
90,-10.3285714285714,37,-4.8,-4.92857142857143,-9.1
91,-11.2714285714286,38.2,-4.6,-2.64285714285715,-7.72857142857143
92,-11.2428571428571,37.8,-6,-2.42857142857143,-8.3
93,-12.4857142857143,37.4,-7.4,-4.17142857142857,-9.25714285714286
94,-12.3714285714286,35.7,-7.26666666666667,-4.15714285714286,-10.0428571428571
95,-12.3857142857143,34.05,-7.13333333333333,-2.35714285714286,-8.97142857142857
96,-12.5714285714286,32.4,-7,-3.38571428571429,-9.71428571428571
97,-12.9571428571429,31.1,-4.8,-3.05714285714286,-9.64285714285714
98,-11.6,29.8,-4.6,-2.78571428571428,-8.62857142857143
99,-9.11428571428572,27.6,-4.4,-2.84285714285714,-8.91428571428571
100,-8.61428571428572,26,-3.2,-2.2,-9.45714285714286
101,-8.38571428571429,25.5,-2,-2.35714285714286,-9.7
102,-8.2,25,-1.4,-2.12857142857143,-11.4571428571429
103,-8.3,24.3,-0.8,1.87142857142857,-13.7428571428571
104,-9.71428571428572,24.6,-0.2,5.87142857142857,-14.4285714285714
105,-10.3857142857143,24.4,-0.2,7.42857142857143,-14.0857142857143
106,-8.25714285714286,23,-0.2,5.91428571428572,-14.3285714285714
107,-7.1,21.6,-0.466666666666667,5.07142857142857,-11.3
108,-7.7,25.4,-0.733333333333333,4.31428571428571,-9.25714285714286
109,-6.41428571428571,29.6,-1,4.28571428571428,-8.67142857142857
110,-7.57142857142857,34.6,0.2,2.28571428571429,-9.18571428571428
111,-7.2,36.9,1.4,0.900000000000001,-10.1857142857143
112,-7.88571428571429,39.2,2.6,1.74285714285714,-11.2
113,-8.95714285714286,43.9,3.4,2.14285714285714,-9.2
114,-10.4,44.4,4.2,0.342857142857142,-8.82857142857143
