,id,chart_type,title,subtitle,notes,complex,x_axis_type,y_axis_type,x_axis_min,x_axis_max,y_axis_min,y_axis_max,chart_type_id
69,01da15f0f6a6396873566efb70ce21d4,Line,Keine Zunahme der Ungleichheit in der Schweiz,"Anteile der Topverdiener (oberstes Prozent) an den gesamten Einkommen, in Prozent",Einkommen vor Steuern (aus Steuerdaten),True,numeric,numeric,1980,2022,8.5,20.87,1
70,01da15f0f6a6396873566efb70d0799b,Arrow,Welche Länder die klimafreundliche Stromerzeugung am meisten forcieren,"Anteil CO₂-armer Energieträger bei der Stromerzeugung, Veränderung in Prozentpunkten seit 2000 (Deutschland, USA und die Schweiz zum Vergleich)",Nur OECD-Länder,True,categorical,numeric,,,0.0,97.6,4
71,01da15f0f6a6396873566efb70ddfca5,Area,Der Mittelstand hält sich beständig,"Anteil der Einkommensgruppen an der Gesamtbevölkerung, in Prozent",Der Mittelstand umfasst Haushalte mit einem Einkommen zwischen 70 und 150 Prozent des medianen Bruttoäquivalenzeinkommens.,True,numeric,numeric,2000,2021,18.4,31.7,5
72,01e843ba181f97facd55faf678039c21,StackedBar,Verbreitung von Kurzarbeit bleibt hartnäckig hoch,"Beschäftigte in Kurzarbeit, nach Wirtschaftssektoren",,True,categorical,numeric,,,0.0,229556.0,2
73,01e843ba181f97facd55faf6789b906a,Bar,"Bisher regnete es dieses Jahr in Zürich vergleichsweise wenig, doch es folgen weitere Regentage","Niederschlagsmenge im April und Mai an der Messstation Zürich Fluntern, in Millimeter, pro Jahr",Die Niederschlagsmenge für Mai 2021 umfasst die Tage vom 1. bis 19. Mai.,False,categorical,numeric,,,108.0,340.8,0
74,01e843ba181f97facd55faf6789e14f5,Bar,Vorsorgelücken in verschiedenen Ländern,"Erforderliche Sparquote (% vom Nettoeinkommen) ab Alter 50, um den gewohnten Lebensstandard zu halten",,False,categorical,numeric,,,0.0,145.0,0
75,020a5674c151c5184ffc8be26a43b967,Line,PSG-Lohnsumme steigt stark,in Millionen Euro,,False,categorical,numeric,2010/11,2018/19,71.0,369.0,1
76,022a672b3f9fa2b1be4ea3c48a553889,StackedBar,Das Globalbudget hat einen schweren Stand,In Prozent der Stimmberechtigten. ,"* Da die Patienten im vierten Quartal zu demjenigen Arzt gehen müssten, der sein Budget noch nicht ausgeschöpft hat. ** Da im vierten Quartal nicht mehr alle Behandlungen angeboten würden. Für die Umfrage wurden zirka 1200 Stimmberechtigte befragt. Die Resultate sind mit einer Fehlermarge von +/- 2,3 bis 2,9 Prozentpunkten behaftet.",True,categorical,numeric,,,1.0,60.0,2
77,022a672b3f9fa2b1be4ea3c48a5a7812,Dotplot,Besitz von Handfeuerwaffen: Die Schweiz liegt im 16. Rang,Die 25 Länder mit den meisten Handfeuerwaffen (Anzahl pro 100 Einwohner),,False,categorical,numeric,,,18.9,120.5,3
78,022a672b3f9fa2b1be4ea3c48a5b3aa9,Bar,Die Schweizer Wirtschaft wächst,BIP in Mrd. Fr.,,False,numeric,numeric,2016,2019,662.7,702.7,0
79,022a672b3f9fa2b1be4ea3c48aa3baa5,StackedBar,Noch laufen für Europas Firmen die Geschäfte in China gut,"Angaben zum Betriebsergebnis Ebit im jeweiligen Vorjahr, in %",,True,numeric,numeric,2009,2018,7.0,77.0,2
